Nome;Código
SB - BL TAU - 3º ANDAR - S307;SBTAU03S307
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC;UFABC
SA - BL B - 9º ANDAR - S915;SAB09S915
SB - BL ÔMEGA - 1º ANDAR - LAB. ENG. TECIDOS E BIOMOLÉCULAS - L104;SBOMEGA01L104
SA - BL L - SUBSOLO - EDITORA DA UFABC (EDUFABC);SALSSEDITORA
SA - BL H - SUBSOLO - TELECOM;SAH STL
SA - BL A - SUBSOLO - LAB. PROC. MAT. METÁLICOS E CERÂMICOS - LS11;SAASL011
SA - BL L - 05º ANDAR - LABORATÓRIO DE CATÁLISE E SÍNTESE ORGÂNICA - L505;SALL505
SA - BL A - SUBSOLO - COORDENAÇÃO DE GESTÃO E PLANEJAMENTO (CGP) - S15;SAASS15CGP
SA - BL A - TORRE 2 - LABORATÓRIO DE REDES - L404-2;SAAT2L4042
SB - BL GAMA - SUBSOLO - DEPÓSITOS DA PREFEITURA UNIVERSITÁRIA;SBGAMASSDPPU
SA - BL C - SUBSOLO - BIBLIOTECA;SACSS
SA - BL A - TORRE 1 - 6º ANDAR - S623-1;SAAT106S623
SA - BL A - TORRE 1 - 3º ANDAR - S305-1;SAAT103S305
SA - BL L - 3º ANDAR - S49;SAL03S49
SA - BL A - TORRE 2 - 5º ANDAR - S524-2;SAAT205S524
SA - BL A - SUBSOLO - S15 - DEPÓSITO;SAASS15DP
SA - BL L - LAB. DE IMUNOLOGIA E BIOQUÍMICA DO CÂNCER - L316;SALL316
SA - BL B - GRUPO DE ELETROQUÍMICA DE SUPERFÍCIES [GESUP] - L201;SABL201
SB - BL DELTA - TÉRREO - DIVISÃO DE PATRIMÔNIO - S11A;SBDELTATS11ADP
SANTO ANDRÉ - AMBIENTES EXTERNOS - PORTARIAS;SAEXTERNOPORT
SA - BL A - DEPÓSITOS DA PREFEITURA UNIVERSITÁRIA;SAADPPU
SA - BL B - 4º ANDAR - S402;SAB04S402
SA - BL A - 06º ANDAR - SALA DE DOCENTE - S634-1;SAAT106S634
SA - BL A - 07º ANDAR - SECRETARIA DO CECS - S700-1;SAAT107S700
SA - BL L - SUBSOLO - DEPÓSITOS DE PREFEITURA UNIVERSITÁRIA;SALSDPPU
SA - BL A - SUBSOLO - S15 - SSSA;SAASS15SSSA
SA - BL A - 2º ANDAR - SUGEPE;SAA02SUGEPE
